timestamp,date_GMT,team_name,a_team,ppg,Opp_PPG,PPG_Dif,goal_count,a_goal_count,corner_count,shots,shots_on_target,Opp_Shot_On_Target,SoT_Comp_Ratio,SoT_Diff,Goal_Sot,possession,xg,Op_Xg,xg_diff,odds_win,odds_draw,Win,prediction_label
1700240400,Nov 17 2023 - 5:00pm,Moldova,Albania,1.25,1.88,-0.63,1,1,4,11,7,5,1.4,2,0.142857143,51,1.59,1.13,0.46,4.75,3.4,0,1
1700250300,Nov 17 2023 - 7:45pm,England,Malta,2.5,0,2.5,2,0,6,8,4,0,4,4,0.5,73,1.17,0.37,0.8,1.01,30.5,1,1
1700250300,Nov 17 2023 - 7:45pm,Italy,FYR Macedonia,1.75,1,0.75,5,2,7,16,12,3,4,9,0.416666667,65,2.22,0.57,1.65,1.18,7.15,1,1
1700250300,Nov 17 2023 - 7:45pm,Poland,Czech Republic,1.5,1.88,-0.38,1,1,3,10,6,4,1.5,2,0.166666667,59,1.45,1.42,0.03,2.56,3.18,0,1
1700250300,Nov 17 2023 - 7:45pm,Denmark,Slovenia,2.2,2.2,0,2,1,8,13,9,2,4.5,7,0.222222222,67,2.05,0.42,1.63,1.53,3.75,1,1
1700316000,Nov 18 2023 - 2:00pm,Armenia,Wales,1,1.6,-0.6,1,1,5,14,3,5,0.6,-2,0.333333333,53,1.35,1.35,0,3.95,3.45,0,0
1700326800,Nov 18 2023 - 5:00pm,Latvia,Croatia,0.38,2,-1.62,0,2,4,2,0,7,0,-7,0,35,0.33,1.72,-1.39,21,7.5,0,0
1700326800,Nov 18 2023 - 5:00pm,Belarus,Andorra,1.2,0.2,1,1,0,2,11,8,3,2.666666667,5,0.125,70,1.77,0.81,0.96,1.59,3.62,1,1
1700336700,Nov 18 2023 - 7:45pm,Netherlands,Republic of Ireland,2.25,0.75,1.5,1,0,5,11,6,2,3,4,0.166666667,52,1.6,0.66,0.94,1.17,6.5,1,1
1700336700,Nov 18 2023 - 7:45pm,France,Gibraltar,2.75,0,2.75,14,0,7,35,21,0,21,21,0.666666667,69,4.51,0.04,4.47,1,41,1,1
1700336700,Nov 18 2023 - 7:45pm,Switzerland,Kosovo,1.7,1.1,0.6,1,1,14,11,6,4,1.5,2,0.166666667,77,1.99,0.92,1.07,1.31,5.4,0,1
1700336700,Nov 18 2023 - 7:45pm,Israel,Romania,1.36,2.2,-0.84,1,2,6,16,6,9,0.666666667,-3,0.166666667,65,1.88,1.9,-0.02,2.79,3.27,0,1
1700402400,Nov 19 2023 - 2:00pm,Hungary,Montenegro,2.25,1.38,0.87,3,1,7,11,6,8,0.75,-2,0.5,59,1.61,1.36,0.25,1.5,3,1,1
1700402400,Nov 19 2023 - 2:00pm,Serbia,Bulgaria,1.75,0.5,1.25,2,2,11,15,9,3,3,6,0.222222222,58,2.12,0.63,1.49,1.5,3,0,1
1700413200,Nov 19 2023 - 5:00pm,Belgium,Azerbaijan,2.5,0.88,1.62,5,0,9,16,8,0,8,8,0.625,74,2.28,0.06,2.22,1.06,13,1,1
1700413200,Nov 19 2023 - 5:00pm,Sweden,Estonia,1.25,0.11,1.14,2,0,7,12,5,0,5,5,0.4,62,1.59,0.38,1.21,1.13,9,1,0
1700423100,Nov 19 2023 - 7:45pm,Spain,Georgia,2.63,1.2,1.43,3,1,9,17,10,2,5,8,0.3,69,2.79,0.73,2.06,1.13,9,1,1
